county_id,county_name,state,total_households,percent_household_overcrowding,percent_household_severe_overcrowding
01069,Houston,Alabama,39560,0.013018200202224469,0.003159757330637007
01071,Jackson,Alabama,20365,0.022833292413454456,0.01301252148293641
01073,Jefferson,Alabama,261390,0.013103026129538238,0.003577030490837446
01075,Lamar,Alabama,6020,0.012956810631229236,0.003986710963455149
01077,Lauderdale,Alabama,38635,0.012035718907726155,0.0024589103144816876
01079,Lawrence,Alabama,13060,0.011791730474732006,0.0010719754977029097
01081,Lee,Alabama,59000,0.028559322033898306,0.01347457627118644
01083,Limestone,Alabama,32385,0.01837270341207349,0.006638876022850085
01085,Lowndes,Alabama,4310,0.012761020881670533,0.002320185614849188
01087,Macon,Alabama,7855,0.012603437301082113,0.0024188415022278805
01089,Madison,Alabama,142250,0.014165202108963094,0.0040421792618629175
01091,Marengo,Alabama,7975,0.014420062695924765,0.00438871473354232
01093,Marion,Alabama,12450,0.01285140562248996,0.005622489959839358
01095,Marshall,Alabama,34585,0.033395980916582337,0.011999421714616163
01097,Mobile,Alabama,153795,0.019961637244383757,0.0040963620403784255
01099,Monroe,Alabama,8205,0.008287629494210847,0.0004875076173065204
01101,Montgomery,Alabama,89780,0.017375807529516597,0.00311873468478503
01103,Morgan,Alabama,45905,0.020477072214355733,0.007079838797516611
01105,Perry,Alabama,3035,0.023064250411861616,0.0
01107,Pickens,Alabama,7620,0.01758530183727034,0.005774278215223097
01109,Pike,Alabama,12280,0.021172638436482084,0.007328990228013029
01111,Randolph,Alabama,8870,0.02762119503945885,0.009582863585118376
01113,Russell,Alabama,22690,0.033274570295284266,0.011458792419568091
01115,St. Clair,Alabama,32485,0.008619362782822841,0.0021548406957057104
01117,Shelby,Alabama,76870,0.010732405359698192,0.002536750357746845
01119,Sumter,Alabama,5075,0.008472906403940886,0.0007881773399014779
01121,Talladega,Alabama,31650,0.014533965244865719,0.004739336492890996
01123,Tallapoosa,Alabama,16370,0.036957849725106906,0.03207086133170434
01125,Tuscaloosa,Alabama,71505,0.01957905041605482,0.005943640304873785
01127,Walker,Alabama,25145,0.018492742095844103,0.003579240405647246
01129,Washington,Alabama,6000,0.025833333333333333,0.0016666666666666668
01131,Wilcox,Alabama,3845,0.0046814044213263975,0.002600780234070221
01133,Winston,Alabama,9440,0.01059322033898305,0.00423728813559322
02013,Aleutians East Borough,Alaska,810,0.030864197530864196,0.0
02016,Aleutians West Census Area,Alaska,1215,0.09382716049382717,0.04938271604938271
02020,Anchorage Municipality,Alaska,106010,0.044052447882275254,0.014432600698047355
02050,Bethel Census Area,Alaska,4525,0.34917127071823206,0.19337016574585636
02060,Bristol Bay Borough,Alaska,360,0.05,0.011111111111111112
02068,Denali Borough,Alaska,680,0.03235294117647059,0.020588235294117647
02070,Dillingham Census Area,Alaska,1405,0.22419928825622776,0.099644128113879
02090,Fairbanks North Star Borough,Alaska,36395,0.057150707514768515,0.021843659843385082
02100,Haines Borough,Alaska,1090,0.07339449541284404,0.03211009174311927
02105,Hoonah-Angoon Census Area,Alaska,800,0.03625,0.01875
02110,Juneau City and Borough,Alaska,12275,0.039103869653767824,0.009775967413441956
02122,Kenai Peninsula Borough,Alaska,21780,0.04178145087235996,0.01859504132231405
02130,Ketchikan Gateway Borough,Alaska,5270,0.04459203036053131,0.016129032258064516
02150,Kodiak Island Borough,Alaska,4540,0.08920704845814978,0.023127753303964757
02158,Kusilvak Census Area,Alaska,1750,0.49142857142857144,0.29428571428571426
02164,Lake and Peninsula Borough,Alaska,410,0.0951219512195122,0.04878048780487805
02170,Matanuska-Susitna Borough,Alaska,30615,0.052098644455332355,0.015025314388371713
02180,Nome Census Area,Alaska,2895,0.2970639032815199,0.153713298791019
02185,North Slope Borough,Alaska,2040,0.3088235294117647,0.12745098039215685
02188,Northwest Arctic Borough,Alaska,1850,0.3675675675675676,0.20270270270270271
02195,Petersburg Borough,Alaska,1255,0.02151394422310757,0.006374501992031873
02198,Prince of Wales-Hyder Census Area,Alaska,2315,0.06047516198704104,0.019438444924406047
02220,Sitka City and Borough,Alaska,3545,0.02679830747531735,0.007052186177715092
02230,Skagway Municipality,Alaska,425,0.03764705882352941,0.018823529411764704
02240,Southeast Fairbanks Census Area,Alaska,2140,0.08177570093457943,0.02336448598130841
02261,Valdez-Cordova Census Area,Alaska,2845,0.033391915641476276,0.01757469244288225
02275,Wrangell City and Borough,Alaska,1080,0.020370370370370372,0.007407407407407408
02282,Yakutat City and Borough,Alaska,255,0.047058823529411764,0.01568627450980392
02290,Yukon-Koyukuk Census Area,Alaska,1960,0.16326530612244897,0.0663265306122449
04001,Apache,Arizona,19530,0.1402969790066564,0.06989247311827956
04003,Cochise,Arizona,49160,0.026342554922701385,0.009662327095199348
04005,Coconino,Arizona,47590,0.0729144778314772,0.03908384114309729
04007,Gila,Arizona,21585,0.03984248320593004,0.014593467685892982
04009,Graham,Arizona,10975,0.05740318906605923,0.01685649202733485
04011,Greenlee,Arizona,3365,0.041604754829123326,0.008915304606240713
04012,La Paz,Arizona,8800,0.048295454545454544,0.014204545454545454
04013,Maricopa,Arizona,1489530,0.04470537686384296,0.013853363141393593
04015,Mohave,Arizona,83900,0.041716328963051254,0.010786650774731824
04017,Navajo,Arizona,34250,0.08306569343065694,0.031532846715328466
04019,Pima,Arizona,398530,0.03812761899982436,0.010614006473791182
04021,Pinal,Arizona,133515,0.03655020035202037,0.00951203984571022
04023,Santa Cruz,Arizona,15570,0.05394990366088632,0.01605651894669236
04025,Yavapai,Arizona,94345,0.023954634585828607,0.005670676771424029
04027,Yuma,Arizona,71670,0.0658574019813032,0.019045625784847215
05001,Arkansas,Arkansas,7690,0.009622886866059818,0.0005201560468140442
05003,Ashley,Arkansas,8185,0.016982284667073917,0.004153940134392181
05005,Baxter,Arkansas,18400,0.018206521739130434,0.007065217391304348
05007,Benton,Arkansas,90905,0.030526373686815905,0.010065452945382542
05009,Boone,Arkansas,14890,0.02552048354600403,0.011417058428475487
05011,Bradley,Arkansas,4570,0.03588621444201313,0.010722100656455142
05013,Calhoun,Arkansas,2060,0.006796116504854369,0.0
05015,Carroll,Arkansas,10835,0.05214582371942778,0.015689893862482696
05017,Chicot,Arkansas,4325,0.025202312138728325,0.0067052023121387284
05019,Clark,Arkansas,8820,0.023809523809523808,0.015873015873015872
05021,Clay,Arkansas,6430,0.026438569206842923,0.008553654743390357
05023,Cleburne,Arkansas,10650,0.015492957746478873,0.005164319248826291
