zcta,Percent Over 65,Percent Non White,Household Size,Household 65+,Income,Covid Infection Rate,Covid Death Rate,Overcrowding,Eviction Rates,Population,Unemployment Rate 2019,Percent Commuting,Percent Worked From Home,Occupation: Management,Occupation: Service,Occupation: Sales,Occupation: Construction,Occupation: Transportation,Health Insurance Coverage,Percent Below Poverty,County,Unemployment 2020 (Projected)
11361,15.2,0.456,2.64,27.6,97203.0,1844.7,207.35,0.032750937256843735,0.00214546883026622,27201,2.2,32.4,2.4,46.5,17.2,22.5,6.7,7.0,0.94,6.7,Queens,6.897297297297298
11362,20.1,0.431,2.51,36.3,121625.0,2057.73,202.95,0.021125089010206502,0.0021287919105907396,18343,2.4,26.3,4.3,48.1,13.7,25.3,6.0,7.0,0.954,5.3,Queens,7.524324324324324
11363,18.4,0.368,2.62,35.4,128009.0,1564.46,69.84,0.027011494252873563,0.0034219001610305967,7096,2.3,38.9,5.3,58.2,8.3,22.7,5.0,5.8,0.971,6.3,Queens,7.21081081081081
11364,16.4,0.5379999999999999,2.6,32.2,98424.0,1533.45,101.27,0.025479930191972082,0.002208580986716035,36215,2.8,33.6,2.1,43.1,16.4,25.9,5.9,8.6,0.929,5.2,Queens,8.778378378378378
11365,14.9,0.593,2.72,30.3,75409.0,2274.65,154.37,0.042997286579002286,0.003313759035773185,44738,5.6,37.8,2.4,36.5,20.2,25.5,8.2,9.6,0.914,12.1,Queens,17.556756756756755
11366,15.9,0.54,2.96,33.0,93913.0,3237.19,210.49,0.033674480026411366,0.002395547100683436,14360,4.7,38.1,5.0,43.8,20.3,24.5,6.1,5.4,0.931,6.8,Queens,14.735135135135135
11367,12.8,0.406,2.68,27.1,72975.0,2973.41,159.37,0.0665243847062029,0.003435468895078923,41207,3.5,41.1,3.1,41.6,21.1,21.8,7.2,8.3,0.94,12.3,Queens,10.972972972972972
11368,7.3,0.68,3.77,20.3,51779.0,4632.86,400.56,0.15482589390044402,0.0028151961166635107,112088,2.8,65.8,1.8,11.6,38.2,17.0,17.3,15.9,0.7659999999999999,16.5,Queens,8.778378378378378
11369,10.5,0.6559999999999999,3.36,26.7,64000.0,4854.34,499.15,0.09930351116536223,0.003147266913412393,31481,3.4,52.6,2.2,23.4,29.8,20.8,11.3,14.6,0.8740000000000001,12.3,Queens,10.659459459459459
11370,8.9,0.583,3.03,27.9,81712.0,4469.05,195.37,0.08988474109754,0.002281415710938464,31580,2.2,53.6,3.3,31.2,23.9,21.6,9.7,13.7,0.935,10.5,Queens,6.897297297297298
11372,12.4,0.542,2.77,27.0,62626.0,4571.4,415.58,0.08301449859041482,0.002918368421448504,62854,3.3,65.9,2.9,29.3,31.0,17.7,7.7,14.2,0.878,10.9,Queens,10.345945945945946
11373,10.0,0.733,3.21,24.8,58918.0,3868.61,319.78,0.11524870888828485,0.002001679157963714,94437,2.7,70.0,2.1,22.0,34.4,20.7,9.3,13.7,0.846,10.2,Queens,8.464864864864865
11374,17.3,0.384,2.26,30.6,87591.0,3039.41,237.83,0.060807358201328564,0.0027998133457769483,43507,2.1,60.2,4.8,49.0,18.0,20.4,4.7,7.9,0.933,10.9,Queens,6.583783783783784
11375,18.6,0.34600000000000003,2.1,29.9,109994.0,2412.37,263.63,0.04532245099857786,0.002280986623366582,73034,3.0,62.1,4.2,61.4,12.4,19.7,2.7,3.8,0.961,5.4,Queens,9.405405405405405
11377,11.0,0.621,2.85,24.3,64678.0,2959.46,228.98,0.07794647940785727,0.0020142538416328573,83825,2.5,64.6,2.5,30.4,26.3,19.0,7.4,16.9,0.901,8.7,Queens,7.837837837837838
11378,13.0,0.265,2.72,26.5,87242.0,2460.0,213.91,0.05277394717301368,0.0026343128524784804,38524,3.4,45.0,2.9,31.0,21.6,21.8,14.6,11.1,0.919,6.8,Queens,10.659459459459459
11379,17.7,0.16899999999999998,2.48,31.8,102200.0,2569.38,276.28,0.02868852459016393,0.001897720271102896,37991,3.0,42.9,2.6,41.0,18.1,22.9,8.8,9.1,0.939,4.7,Queens,9.405405405405405
11385,10.0,0.345,2.83,22.3,76414.0,2441.47,138.93,0.038670341601937684,0.0021887348837635254,107796,2.8,58.6,2.4,30.7,25.9,19.9,11.6,11.9,0.885,8.6,Queens,8.778378378378378
11411,17.3,0.979,3.15,40.4,113769.0,3625.41,239.09,0.02262123568499929,0.013733795404954431,20719,3.8,37.8,2.0,36.5,25.5,21.1,5.7,11.1,0.931,2.4,Queens,11.913513513513513
11412,13.4,0.986,3.25,34.5,94103.0,3423.39,231.28,0.0446785325099891,0.013885238720981168,37857,4.0,42.4,2.9,30.5,30.9,21.4,6.0,11.3,0.934,6.3,Queens,12.54054054054054
11413,13.5,0.977,3.16,32.9,99229.0,3292.25,235.98,0.03310336097221343,0.010060541310541307,41650,3.5,38.8,2.4,32.9,25.2,22.2,8.4,11.3,0.945,4.4,Queens,10.972972972972972
11414,21.6,0.13,2.44,39.3,89181.0,3223.0,222.89,0.013170410477793224,0.004212812160694897,28313,2.6,32.3,0.5,36.3,16.9,26.6,7.3,12.9,0.966,9.6,Queens,8.151351351351352
11415,13.9,0.377,2.24,25.3,86948.0,3207.82,275.55,0.057018498367791076,0.004982605106433164,18891,2.3,57.1,3.1,49.3,14.4,21.5,4.1,10.6,0.938,9.3,Queens,7.21081081081081
11416,8.4,0.682,3.43,22.2,75471.0,3043.46,214.17,0.05948221804174505,0.004579347383058811,26744,4.6,51.7,4.5,25.2,26.1,21.2,11.3,16.3,0.918,11.8,Queens,14.42162162162162
11417,9.8,0.59,3.14,24.4,85046.0,3111.55,150.3,0.05375647668393782,0.0055438225976768745,31321,4.1,48.6,2.8,30.1,24.1,23.8,9.4,12.5,0.932,10.9,Queens,12.854054054054053
11418,9.2,0.63,3.25,21.8,72047.0,3280.4,278.18,0.07572826915186683,0.00391025641025641,38405,3.0,52.9,3.2,28.3,24.9,19.1,11.6,16.2,0.875,11.2,Queens,9.405405405405405
11419,8.5,0.877,3.72,23.8,79508.0,2658.86,192.73,0.08093653434751605,0.004529569105214862,48369,5.0,51.5,1.2,23.6,24.2,22.7,13.6,15.9,0.8909999999999999,8.9,Queens,15.675675675675675
11420,9.9,0.8440000000000001,3.43,26.4,82528.0,3174.59,221.0,0.051482964768703926,0.006967629554362025,47470,4.4,39.9,2.8,26.3,23.8,25.3,10.2,14.4,0.934,9.4,Queens,13.794594594594596
11421,9.5,0.568,3.3,24.5,78779.0,3174.64,244.02,0.05230075901328273,0.0038001278889193374,41251,4.0,57.4,2.9,25.6,28.3,22.4,10.2,13.6,0.894,8.1,Queens,12.54054054054054
11422,10.0,0.927,3.23,25.4,92304.0,3241.24,198.69,0.03308630885545325,0.008526187576126675,32761,3.9,33.5,1.4,32.0,25.5,25.0,6.3,11.3,0.951,4.8,Queens,12.227027027027027
11423,13.0,0.847,3.1,29.4,82156.0,3735.82,333.95,0.06042140811981499,0.008622933749837303,30104,5.9,45.1,3.8,30.7,26.4,23.3,8.0,11.7,0.91,7.7,Queens,18.497297297297298
11426,13.7,0.537,2.88,30.5,115136.0,2710.76,166.97,0.03848147188390775,0.003196626538801605,20524,2.7,28.1,2.7,41.1,16.5,21.6,8.1,12.7,0.934,6.3,Queens,8.464864864864865
11427,13.9,0.7190000000000001,2.96,31.7,96292.0,3730.77,224.02,0.05828335832083958,0.0046360686138154856,24560,3.0,38.8,2.6,38.4,18.2,23.7,6.2,13.5,0.929,5.4,Queens,9.405405405405405
11428,10.7,0.772,3.46,28.6,88320.0,3756.32,279.4,0.03559463986599665,0.007967550340431695,18836,3.3,39.6,1.7,30.2,23.4,23.0,11.3,12.2,0.922,7.7,Queens,10.345945945945946
11429,13.4,0.939,3.42,34.5,97941.0,3766.54,267.51,0.05183858392160995,0.01134244872591672,27454,8.3,41.6,2.6,31.8,25.8,21.8,8.2,12.3,0.934,5.8,Queens,26.021621621621623
11432,12.1,0.762,3.06,26.7,67198.0,3327.77,408.26,0.1285847052575677,0.0047693134040858644,64299,4.5,53.2,3.2,32.6,23.1,23.3,7.2,13.7,0.909,10.7,Queens,14.108108108108109
11433,11.7,0.947,3.12,30.1,65591.0,2949.85,224.78,0.060530780416868636,0.008596828888277886,37021,8.8,48.6,1.6,22.2,32.1,24.4,7.0,14.3,0.902,12.6,Queens,27.58918918918919
11434,13.1,0.971,2.84,30.3,81641.0,3401.14,294.66,0.023562446587718232,0.007748381505836773,64304,3.7,45.8,1.9,31.1,27.1,22.0,6.6,13.1,0.952,6.4,Queens,11.6
11435,10.2,0.736,2.97,23.3,70354.0,3194.38,260.13,0.08375807551212544,0.004429390307451798,59605,6.1,56.1,2.5,28.8,25.3,22.9,10.0,13.0,0.9,10.9,Queens,19.124324324324323
11436,10.8,0.961,3.32,27.9,79740.0,2854.75,221.07,0.06353708693802297,0.011556588546710569,19167,5.8,39.1,1.5,27.7,27.1,22.0,11.7,11.5,0.92,7.7,Queens,18.183783783783785
10451,11.9,0.81,2.66,27.7,37332.0,3788.87,320.63,0.05862759965337955,0.007176274987433786,48136,4.5,66.7,2.4,21.9,38.4,21.6,4.2,13.8,0.919,33.0,Bronx,12.413793103448278
10452,6.9,0.8079999999999999,3.0,18.5,35155.0,3760.63,231.06,0.09755020542948199,0.005826437866755521,75452,5.8,71.8,2.4,18.4,40.4,20.4,6.5,14.3,0.893,34.1,Bronx,16.0
10453,6.5,0.826,3.02,17.1,33760.0,3478.52,205.71,0.07823915996622242,0.007260570921152289,81716,7.7,66.1,4.9,17.9,40.0,21.1,5.9,15.1,0.91,35.2,Bronx,21.24137931034483
10454,9.0,0.76,3.03,24.0,30076.0,3427.22,277.32,0.07342200353655724,0.004484709848302432,37212,7.1,71.1,1.2,19.4,37.5,24.3,5.0,13.8,0.875,40.0,Bronx,19.586206896551726
10455,8.8,0.7509999999999999,2.99,22.7,33920.0,3578.0,265.56,0.0663462580854985,0.005906268149935219,41951,7.7,69.3,3.3,17.7,40.3,20.9,9.4,11.8,0.902,35.0,Bronx,21.24137931034483
10456,7.8,0.846,2.98,18.9,35269.0,3159.18,321.06,0.07249179070891604,0.006864691147974857,92717,7.8,64.7,2.7,17.2,41.9,20.0,5.5,15.5,0.904,34.0,Bronx,21.517241379310345
10457,7.5,0.797,2.97,19.1,38096.0,3437.1,255.74,0.09451504877592196,0.007330415206349685,74822,6.3,66.7,3.4,19.0,40.5,20.1,5.7,14.8,0.904,32.1,Bronx,17.379310344827587
10458,6.6,0.703,2.92,16.9,38624.0,2998.53,151.54,0.0936627401667992,0.0076240549304479625,85620,8.0,66.8,4.0,17.4,38.4,21.6,7.5,15.0,0.894,31.2,Bronx,22.06896551724138
10459,8.4,0.767,2.99,20.9,35536.0,3619.1,343.3,0.05191127890514394,0.008539812364686072,48780,5.8,64.6,3.4,22.5,37.3,20.9,6.6,12.7,0.905,29.9,Bronx,16.0
