household_network,True
same_age_household,True
num_households,"{'poor': 204000, 'rich': 34000}"
max_household_sizes,"{'poor': 5, 'rich': 3}"
econ_network,watts strogatz
average_worker_degree,20
rewiring_prob,1
initial_infection_fraction,0.001
household_transmission_prob,0.25
other_transmission_prob,0.005
time_steps_pre_lockdown,0
time_steps_post_lockdown_pre_reopening,60
time_steps_post_reopening,0
occupations_staying_at_home,retiree
partial_opening,True
worker_staying_at_home_prob,0.4
staying_at_home_output_remaining_scale,1.0
viral_test_fraction_all,0.00145
viral_test_fraction_poor,
contact_tracing_efficacy,0.7
subsidy,0.1
hospital_capacity,0.0025
undertreatment_effect,0.5
despair_prob_factor,5.5e-05
inactive_prob_factor,0.01
trial,time,stay_at_home_count,stay_at_home_count_poor,stay_at_home_count_rich,isolation_count,isolation_count_poor,isolation_count_rich,infections,infections_poor,infections_rich,recoveries,recoveries_poor,recoveries_rich,hospitalizations,hospitalizations_poor,hospitalizations_rich,hospitalizations_cumsum,hospitalizations_cumsum_poor,hospitalizations_cumsum_rich,ICU_count,ICU_count_poor,ICU_count_rich,viral_deaths,viral_deaths_poor,viral_deaths_rich,undertreated_deaths,undertreated_deaths_poor,undertreated_deaths_rich,deaths_of_despair,deaths_of_despair_poor,deaths_of_despair_rich,active_count,active_count_poor,active_count_rich,total_output,total_output_poor,total_output_rich,total_subsidy,total_subsidy_poor,total_subsidy_rich
30,5,0.3671125889,0.3669613689,0.3684736154,0.0006285697,0.0006331365,0.0005874664,0.0040783597,0.0041725003,0.0032310652,0.0,0.0,0.0,5.8745e-06,4.8954e-06,1.46867e-05,0.0001688914,0.0001680749,0.0001762399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93724e-05,3.26359e-05,0.0,0.9974695665,0.9974576631,0.9975767011,0.87767517,0.8776156587,0.8777479125,0.0438337981,0.0796765811,2.20201e-05
30,6,0.3671111202,0.3669597371,0.3684736154,0.0008811724,0.0008860648,0.0008371396,0.0045776908,0.0046816204,0.0036422917,1.1749e-05,1.14226e-05,1.46867e-05,8.8117e-06,8.159e-06,1.46867e-05,0.0001835776,0.0001843929,0.0001762399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.40586e-05,4.89539e-05,0.0,0.9969834531,0.9969648609,0.9971507879,0.8771959698,0.8771056293,0.8773063958,0.0438369574,0.0796789309,2.61689e-05
30,7,0.3671067144,0.3669548417,0.3684736154,0.0011763652,0.0011863151,0.0010868128,0.005049118,0.0051760544,0.0039066516,3.96528e-05,3.91631e-05,4.406e-05,1.46862e-05,1.46862e-05,1.46867e-05,0.0001967952,0.000199079,0.0001762399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72762e-05,6.364e-05,0.0,0.9964547496,0.9964410547,0.9965780082,0.8766313288,0.8765597008,0.876718882,0.0438399012,0.0796804974,3.07963e-05
30,8,0.3671037771,0.3669515781,0.3684736154,0.0014994618,0.0015175695,0.0013364861,0.0055249511,0.0056753837,0.0041710115,7.93055e-05,8.32216e-05,4.406e-05,2.20293e-05,2.28451e-05,1.46867e-05,0.0002100128,0.0002137652,0.0001762399,2.9372e-06,3.2636e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31507e-05,7.01672e-05,0.0,0.9959157658,0.9959107212,0.9959611685,0.8760432442,0.8759989068,0.8760974392,0.0438433477,0.0796816723,3.70194e-05
30,9,0.3670993713,0.3669466827,0.3684736154,0.0018563366,0.0018863553,0.0015861593,0.0060257508,0.0061763448,0.0046703579,0.0001336445,0.0001419662,5.87466e-05,2.49666e-05,2.61087e-05,1.46867e-05,0.0002202931,0.0002251877,0.0001762399,1.4686e-06,1.6318e-06,0.0,1.4686e-06,1.6318e-06,0.0,0.0,0.0,0.0,7.04938e-05,7.83262e-05,0.0,0.9954120289,0.9954016011,0.995505882,0.8755243094,0.8754579716,0.8756053963,0.043847943,0.0796845442,4.37211e-05
30,10,0.3670876223,0.366936892,0.3684442421,0.0022763621,0.002318781,0.0018945792,0.0065676718,0.006724628,0.0051550177,0.0001879835,0.0002007108,7.34333e-05,3.81841e-05,3.75313e-05,4.406e-05,0.0002408538,0.0002464011,0.0001909266,2.9372e-06,3.2636e-06,0.0,1.4686e-06,1.6318e-06,0.0,0.0,0.0,0.0,7.3431e-05,8.15898e-05,0.0,0.9949053547,0.9948973764,0.9949771622,0.8749620169,0.8749032151,0.8750338922,0.043851892,0.0796876772,4.86677e-05
30,11,0.3670802792,0.3669303648,0.3684295554,0.0026479232,0.0027120436,0.0020708191,0.0071228105,0.0072924928,0.0055956175,0.00025554,0.0002692462,0.0001321799,4.69959e-05,4.56903e-05,5.87466e-05,0.0002570086,0.0002610872,0.0002202999,2.9372e-06,3.2636e-06,0.0,1.4686e-06,1.6318e-06,0.0,0.0,0.0,0.0,8.37114e-05,9.30123e-05,0.0,0.9943516847,0.9943539886,0.9943309492,0.8743395144,0.8743144524,0.8743701484,0.0438556257,0.079690027,5.40929e-05
30,12,0.3670670616,0.3669156786,0.3684295554,0.0030150783,0.0030857247,0.0023792389,0.0077264136,0.0079174703,0.006006844,0.0003656866,0.0003834719,0.0002056132,5.72762e-05,5.71128e-05,5.87466e-05,0.0002775693,0.0002823006,0.0002349866,4.4059e-06,4.8954e-06,0.0,1.4686e-06,1.6318e-06,0.0,0.0,0.0,0.0,9.39917e-05,0.0001044349,0.0,0.993831793,0.9938122326,0.9940078427,0.8738421558,0.8737301933,0.8739790111,0.0438593594,0.0796912019,6.09543e-05
30,13,0.3670435637,0.3668928335,0.3684001821,0.003345518,0.0034251381,0.0026289122,0.0083123932,0.0085293935,0.0063593238,0.0004949252,0.0005189109,0.0002790465,7.3431e-05,7.1799e-05,8.812e-05,0.0002951928,0.0003018821,0.0002349866,4.4059e-06,4.8954e-06,0.0,1.4686e-06,1.6318e-06,0.0,0.0,0.0,0.0,0.0001101466,0.0001223846,0.0,0.9933295247,0.9933129033,0.9934791229,0.8732923699,0.8731884422,0.8734194041,0.0438620878,0.0796932905,6.44647e-05
30,14,0.3670200658,0.3668683566,0.3683854955,0.0036612714,0.003753129,0.0028345254,0.0088969043,0.0091298942,0.0067999236,0.0006476617,0.000677195,0.0003818532,9.25231e-05,9.13805e-05,0.0001028066,0.0003128162,0.0003198319,0.0002496732,5.8745e-06,6.5272e-06,0.0,1.4686e-06,1.6318e-06,0.0,0.0,0.0,0.0,0.0001174897,0.0001305436,0.0,0.9927420764,0.9927221934,0.9929210298,0.8726909701,0.872568953,0.8728401155,0.0438645291,0.0796932905,6.989e-05
